operator,scenario,scenario_score,scenario_rank,scenario_rank_best,scenario_rank_worst,scenario_rank_mean,scenario_rank_std,scenario_rank_range
Mon3tr,content_led,58.80750605326876,25.0,24.0,26.0,25.2,0.8366600265340757,2.0
泥岩,content_led,58.55733580508474,26.0,25.0,27.0,25.8,0.8366600265340756,2.0
德克萨斯,content_led,57.78734110169491,27.0,8.0,39.0,23.4,11.458621208504974,31.0
重岳,content_led,57.471751412429384,28.0,28.0,31.0,29.6,1.1401754250991376,3.0
斩业星熊,content_led,53.127522195318804,29.0,13.0,29.0,21.8,6.058052492344384,16.0
死芒,content_led,52.09644874899112,30.0,15.0,30.0,24.6,5.941380311005179,15.0
黍,content_led,49.654739485247966,31.0,31.0,50.0,43.2,7.563068160475615,19.0
真言,content_led,49.263518966908805,32.0,21.0,32.0,28.6,4.505552130427524,11.0
银灰,content_led,47.91644597457628,33.0,27.0,41.0,34.0,5.0,14.0
酒神,content_led,46.10774818401938,34.0,7.0,34.0,24.2,10.52140675005011,27.0
幽灵鲨,content_led,45.9666313559322,35.0,20.0,51.0,34.4,11.036303729057115,31.0
温蒂,content_led,43.95259533898305,36.0,34.0,41.0,36.0,2.9154759474226504,7.0
斯卡蒂,content_led,43.35209216101694,37.0,33.0,44.0,37.2,4.086563348340509,11.0
缪尔赛思,content_led,42.958843377275585,38.0,38.0,46.0,41.4,2.9664793948382644,8.0
缄默德克萨斯,content_led,41.65052461662631,39.0,39.0,54.0,46.2,5.449770637375485,15.0
拉普兰德,content_led,40.39923199152542,40.0,36.0,49.0,40.4,5.029910535983716,13.0
司霆惊蛰,content_led,38.76916868442292,41.0,30.0,41.0,36.4,3.9749213828703587,11.0
贝洛内,content_led,37.83696529459242,42.0,34.0,42.0,38.2,2.863564212655271,8.0
塑心,content_led,34.99192897497982,43.0,33.0,43.0,39.2,3.768288736283354,10.0
锏,content_led,32.93299788135593,44.0,44.0,47.0,46.4,1.3416407864998738,3.0
佩佩,content_led,32.15496368038741,45.0,31.0,45.0,40.0,5.3385391260156565,14.0
铃兰,content_led,31.837923728813557,46.0,45.0,52.0,48.4,2.8809720581775866,7.0
余,content_led,31.230831315577074,47.0,47.0,56.0,52.6,3.3615472627943217,9.0
诗怀雅,content_led,30.287341101694906,48.0,43.0,54.0,49.2,4.08656334834051,11.0
娜斯提,content_led,28.27885391444714,49.0,28.0,49.0,41.6,7.956129712366435,21.0
艾雅法拉,content_led,27.701933262711858,50.0,48.0,55.0,52.0,2.9154759474226504,7.0
煌,content_led,27.53310381355932,51.0,44.0,57.0,50.4,4.669047011971501,13.0
怒潮凛冬,content_led,23.82163034705408,52.0,42.0,52.0,49.8,4.381780460041329,10.0
谬因,content_led,23.63397901533495,53.0,35.0,53.0,46.0,6.670832032063167,18.0
伊芙利特,content_led,23.338850635593218,54.0,52.0,58.0,55.2,2.2803508501982757,6.0
缇缇,content_led,23.058918482647297,55.0,32.0,55.0,44.8,8.228000972289685,23.0
夕,content_led,22.275556144067796,56.0,50.0,58.0,54.8,2.949576240750525,8.0
霍尔海雅,content_led,19.181011652542374,57.0,53.0,59.0,56.8,2.280350850198276,6.0
陈,content_led,17.466896186440678,58.0,56.0,59.0,57.6,1.1401754250991383,3.0
年,content_led,15.860037076271185,59.0,57.0,60.0,58.8,1.0954451150103326,3.0
夜莺,content_led,15.460805084745763,60.0,55.0,60.0,59.0,2.23606797749979,5.0
新约能天使,survey_led,94.01581920903953,1.0,1.0,1.0,1.0,0.0,0.0
维什戴尔,survey_led,93.91684322033899,2.0,2.0,2.0,2.0,0.0,0.0
凯尔希·思衡托,survey_led,81.76723163841808,3.0,3.0,13.0,5.0,4.47213595499958,10.0
史尔特尔,survey_led,79.09730629539952,4.0,4.0,26.0,14.0,8.031189202104505,22.0
凛御银灰,survey_led,77.91666666666666,5.0,3.0,7.0,4.6,1.51657508881031,4.0
阿米娅,survey_led,76.65254237288136,6.0,4.0,9.0,5.8,1.9235384061671346,5.0
浊心斯卡蒂,survey_led,76.56117584745763,7.0,7.0,18.0,10.6,4.505552130427524,11.0
德克萨斯,survey_led,75.54365920096852,8.0,8.0,39.0,23.4,11.458621208504974,31.0
能天使,survey_led,75.42618795399515,9.0,9.0,19.0,12.2,4.147288270665544,10.0
塞雷娅,survey_led,73.65787681598063,10.0,6.0,10.0,6.8,1.7888543819998317,4.0
令,survey_led,72.48656930992736,11.0,11.0,36.0,21.8,9.311283477587825,25.0
焰狐龙梓兰,survey_led,71.96327683615817,12.0,8.0,12.0,10.8,1.788854381999832,4.0
予愿安洁莉娜,survey_led,71.95338983050848,13.0,4.0,22.0,10.2,7.463243262818116,18.0
赤刃明霄陈,survey_led,70.03389830508475,14.0,8.0,17.0,11.2,4.086563348340509,9.0
望,survey_led,69.0614406779661,15.0,8.0,20.0,14.2,4.266145801540309,12.0
玛恩纳,survey_led,67.29967463680389,16.0,12.0,16.0,13.6,1.6733200530681511,4.0
结城理,survey_led,67.29025423728814,17.0,11.0,23.0,16.8,4.266145801540309,12.0
逻各斯,survey_led,63.71632869249395,18.0,15.0,18.0,16.6,1.341640786499874,3.0
斩业星熊,survey_led,63.22316384180791,19.0,13.0,29.0,21.8,6.058052492344384,16.0
幽灵鲨,survey_led,62.56128934624697,20.0,20.0,51.0,34.4,11.036303729057115,31.0
荒芜拉普兰德,survey_led,62.154802259887,21.0,19.0,28.0,21.6,3.6469165057620936,9.0
酒神,survey_led,61.5635593220339,22.0,7.0,34.0,24.2,10.52140675005011,27.0
死芒,survey_led,60.543785310734464,23.0,15.0,30.0,24.6,5.941380311005179,15.0
W,survey_led,60.390625,24.0,22.0,24.0,23.0,0.7071067811865476,2.0
泥岩,survey_led,59.40999546004843,25.0,25.0,27.0,25.8,0.8366600265340756,2.0
Mon3tr,survey_led,59.03813559322033,26.0,24.0,26.0,25.2,0.8366600265340757,2.0
维娜·维多利亚,survey_led,58.31497175141242,27.0,9.0,37.0,22.4,10.382677881933928,28.0
真言,survey_led,56.336158192090394,28.0,21.0,32.0,28.6,4.505552130427524,11.0
纯烬艾雅法拉,survey_led,56.21751412429379,29.0,10.0,38.0,24.2,10.305338422390601,28.0
凯尔希,survey_led,56.20365466101696,30.0,10.0,30.0,19.2,7.259476565152615,20.0
重岳,survey_led,55.70056497175141,31.0,28.0,31.0,29.6,1.1401754250991376,3.0
棘刺,survey_led,55.068855932203384,32.0,5.0,32.0,17.2,9.757048734120374,27.0
斯卡蒂,survey_led,50.65432052058112,33.0,33.0,44.0,37.2,4.086563348340509,11.0
温蒂,survey_led,50.49523305084746,34.0,34.0,41.0,36.0,2.9154759474226504,7.0
归溟幽灵鲨,survey_led,50.057909604519764,35.0,21.0,40.0,32.0,6.9641941385920605,19.0
拉普兰德,survey_led,49.90447185230025,36.0,36.0,49.0,40.4,5.029910535983716,13.0
司霆惊蛰,survey_led,46.34604519774012,37.0,30.0,41.0,36.4,3.9749213828703587,11.0
贝洛内,survey_led,43.96468926553672,38.0,34.0,42.0,38.2,2.863564212655271,8.0
塑心,survey_led,43.48587570621469,39.0,33.0,43.0,39.2,3.768288736283354,10.0
佩佩,survey_led,42.771186440677965,40.0,31.0,45.0,40.0,5.3385391260156565,14.0
银灰,survey_led,41.81162984261502,41.0,27.0,41.0,34.0,5.0,14.0
缪尔赛思,survey_led,41.25398226616448,42.0,38.0,46.0,41.4,2.9664793948382644,8.0
娜斯提,survey_led,41.112994350282484,43.0,28.0,49.0,41.6,7.956129712366435,21.0
煌,survey_led,37.898380750605334,44.0,44.0,57.0,50.4,4.669047011971501,13.0
缇缇,survey_led,37.85310734463276,45.0,32.0,55.0,44.8,8.228000972289685,23.0
谬因,survey_led,35.48446327683615,46.0,35.0,53.0,46.0,6.670832032063167,18.0
锏,survey_led,32.010820217917676,47.0,44.0,47.0,46.4,1.3416407864998738,3.0
缄默德克萨斯,survey_led,31.888418079096045,48.0,39.0,54.0,46.2,5.449770637375485,15.0
黍,survey_led,31.432517263025744,49.0,31.0,50.0,43.2,7.563068160475615,19.0
夕,survey_led,30.641835653753027,50.0,50.0,58.0,54.8,2.949576240750525,8.0
怒潮凛冬,survey_led,30.187853107344633,51.0,42.0,52.0,49.8,4.381780460041329,10.0
