bvid,title,owner_mid,published_at,view,like,coin,favorite,share,reply,danmaku,content_type,source_url,collected_at,source_type,is_simulated
BV16u411k75m,《明日方舟》特别映像 [莱塔尼亚：余烬],161775300,2022-04-25T03:00:00+00:00,1288375,110642,42558,24977,20145,7361,2075,animation_brand,https://www.bilibili.com/video/BV16u411k75m,2026-09-11T22:18:05+00:00,official_public_aggregate,False
BV1A34y1p79t,《明日方舟》SideStory「绿野幻梦」活动宣传PV,161775300,2022-06-29T03:00:19+00:00,2996672,154067,56937,22276,32915,19586,18153,event_pv,https://www.bilibili.com/video/BV1A34y1p79t,2026-09-11T22:17:59+00:00,official_public_aggregate,False
BV1hkFkz9EWj,《明日方舟》2026新春前瞻特辑视频,161775300,2026-02-06T12:36:56+00:00,988774,49484,12275,8087,4161,7226,13579,other_official,https://www.bilibili.com/video/BV1hkFkz9EWj,2026-09-11T22:17:59+00:00,official_public_aggregate,False
BV1QT4y1a7PY,《明日方舟》2022「音律联觉&嘉年华-灯下定影」片场前瞻PV,161775300,2022-04-24T02:00:00+00:00,1933159,135045,25006,24975,9397,5403,2052,offline_event,https://www.bilibili.com/video/BV1QT4y1a7PY,2026-09-11T22:17:59+00:00,official_public_aggregate,False
BV1xb4y1M7Jm,《明日方舟》SideStory「银心湖列车」活动宣传PV,161775300,2023-11-29T02:56:03+00:00,2331439,119773,28682,14746,29441,11001,11128,event_pv,https://www.bilibili.com/video/BV1xb4y1M7Jm,2026-09-11T22:18:00+00:00,official_public_aggregate,False
BV1HA411A7q7,《明日方舟》危机合约新赛季「蛮鳞行动」宣传PV,161775300,2021-08-19T03:00:17+00:00,2883907,150851,37744,22007,30017,62579,8281,gameplay_system,https://www.bilibili.com/video/BV1HA411A7q7,2026-09-11T22:18:11+00:00,official_public_aggregate,False
BV1ee4y137g3,《明日方舟》SideStory「登临意」活动宣传PV,161775300,2023-01-08T12:15:00+00:00,2760712,121766,41789,19311,22248,11354,18161,event_pv,https://www.bilibili.com/video/BV1ee4y137g3,2026-09-11T22:18:00+00:00,official_public_aggregate,False
BV1q541127rm,《明日方舟》EP - March On!,161775300,2022-04-14T03:00:17+00:00,1720612,120324,46305,36622,10597,8272,4427,music_ep,https://www.bilibili.com/video/BV1q541127rm,2026-09-11T22:18:27+00:00,official_public_aggregate,False
BV1ZL411u7MS,《明日方舟》危机合约新赛季「松烟行动」宣传PV,161775300,2021-11-16T03:00:17+00:00,1951252,125763,37792,19050,16914,11403,2684,gameplay_system,https://www.bilibili.com/video/BV1ZL411u7MS,2026-09-11T22:18:20+00:00,official_public_aggregate,False
BV1fQ4y1P7Em,《明日方舟》携手罗森LAWSON合作活动宣传PV,161775300,2020-04-26T06:35:01+00:00,709895,50534,5842,5347,3956,7252,2535,event_pv,https://www.bilibili.com/video/BV1fQ4y1P7Em,2026-09-11T22:18:14+00:00,official_public_aggregate,False
BV16o4y1f7Fv,《明日方舟》SideStory「覆潮之下」活动先导PV,161775300,2021-04-24T14:15:03+00:00,2669074,179964,89125,51872,22707,9046,14726,event_pv,https://www.bilibili.com/video/BV16o4y1f7Fv,2026-09-11T22:18:14+00:00,official_public_aggregate,False
BV1vZ4y1a7Be,《明日方舟》危机合约新赛季「渊默行动」宣传PV,161775300,2022-05-16T03:00:00+00:00,2514938,137103,40563,20749,29127,17255,5347,gameplay_system,https://www.bilibili.com/video/BV1vZ4y1a7Be,2026-09-11T22:18:20+00:00,official_public_aggregate,False
BV1jv4y1f7jH,《明日方舟》SideStory「画中人」活动宣传PV,161775300,2021-01-28T03:00:05+00:00,4044100,211640,126969,49265,48399,36129,48514,event_pv,https://www.bilibili.com/video/BV1jv4y1f7jH,2026-09-11T22:18:11+00:00,official_public_aggregate,False
BV1St4y1e7t3,《明日方舟》EP - Confront,161775300,2020-11-01T02:30:29+00:00,1600543,135355,63685,43403,6877,8405,31317,music_ep,https://www.bilibili.com/video/BV1St4y1e7t3,2026-09-11T22:18:15+00:00,official_public_aggregate,False
BV1jq4y1f7UQ,《明日方舟》EP - Towards Her Light,161775300,2021-09-17T03:00:19+00:00,2355213,141236,60524,54351,20646,10980,9472,music_ep,https://www.bilibili.com/video/BV1jq4y1f7UQ,2026-09-11T22:18:47+00:00,official_public_aggregate,False
BV1fF41177fP,《明日方舟》危机合约新赛季「寻昼行动」宣传PV,161775300,2022-02-18T03:01:06+00:00,1960930,134643,34165,18393,20231,12477,3180,gameplay_system,https://www.bilibili.com/video/BV1fF41177fP,2026-09-11T22:18:20+00:00,official_public_aggregate,False
BV13L4y1z7nB,《明日方舟》2021「感谢庆典」限时活动宣传PV,161775300,2021-10-24T12:50:01+00:00,3406191,107232,40726,22351,13971,20059,17127,event_pv,https://www.bilibili.com/video/BV13L4y1z7nB,2026-09-11T22:18:20+00:00,official_public_aggregate,False
BV1rA411b7eH,《明日方舟》EP - Curtain Call,161775300,2020-04-21T02:30:06+00:00,1355576,96925,32976,31807,9936,8840,13638,music_ep,https://www.bilibili.com/video/BV1rA411b7eH,2026-09-11T22:18:33+00:00,official_public_aggregate,False
BV1uY4y1Y7B9,《明日方舟》SideStory「愚人号」活动先导PV,161775300,2022-04-23T11:50:19+00:00,3655746,261367,101067,64427,40817,9518,21813,event_pv,https://www.bilibili.com/video/BV1uY4y1Y7B9,2026-09-11T22:18:13+00:00,official_public_aggregate,False
BV1yF411z71E,《明日方舟》SideStory「风雪过境」活动宣传PV,161775300,2021-12-14T03:00:16+00:00,2406511,130790,47744,19587,22698,17393,11106,event_pv,https://www.bilibili.com/video/BV1yF411z71E,2026-09-11T22:18:07+00:00,official_public_aggregate,False
BV1RR4y1J7wn,《明日方舟》2021「感谢庆典」特别直播录像（附字幕）,161775300,2021-10-28T06:35:11+00:00,881665,64505,18459,10699,2287,5168,12506,other_official,https://www.bilibili.com/video/BV1RR4y1J7wn,2026-09-11T22:18:15+00:00,official_public_aggregate,False
BV16mGyzGEB3,《明日方舟》六周年庆典声优祝福,161775300,2025-04-29T11:22:44+00:00,334494,31457,4080,3731,832,1676,1265,other_official,https://www.bilibili.com/video/BV16mGyzGEB3,2026-09-11T22:18:06+00:00,official_public_aggregate,False
BV1fV4y1o7PW,《明日方舟》四周年庆典声优祝福,161775300,2023-04-27T04:54:26+00:00,369547,45352,6633,4974,943,1040,2321,other_official,https://www.bilibili.com/video/BV1fV4y1o7PW,2026-09-11T22:18:06+00:00,official_public_aggregate,False
BV1eh41187Ut,《明日方舟》EP - Field in the Light,161775300,2021-11-02T03:00:00+00:00,1029803,78169,22959,19101,1842,5231,2076,music_ep,https://www.bilibili.com/video/BV1eh41187Ut,2026-09-11T22:18:06+00:00,official_public_aggregate,False
BV13T4y1o7R6,《明日方舟》EP - Bridge to the Dawn,161775300,2021-10-15T03:00:19+00:00,959339,81657,24991,22136,4017,4576,2008,music_ep,https://www.bilibili.com/video/BV13T4y1o7R6,2026-09-11T22:18:06+00:00,official_public_aggregate,False
BV1pb411v7UL,《明日方舟》声优影像资料-谢拉格,161775300,2019-03-08T02:30:20+00:00,814834,22749,5820,10630,2718,1376,4762,other_official,https://www.bilibili.com/video/BV1pb411v7UL,2026-09-11T22:18:06+00:00,official_public_aggregate,False
BV1Ub41127ch,《明日方舟》游戏概念宣传PV-bilibili,161775300,2019-02-15T10:06:18+00:00,2067764,63655,29673,33691,13879,3129,5395,other_pv,https://www.bilibili.com/video/BV1Ub41127ch,2026-09-11T22:18:06+00:00,official_public_aggregate,False
